experiment,model,full_accuracy,full_f1,full_roc_auc,male_accuracy,female_accuracy,accuracy_gap_male_minus_female,male_f1,female_f1,f1_gap_male_minus_female,male_recall,female_recall,recall_gap_male_minus_female,male_fnr,female_fnr,fnr_gap_female_minus_male,male_favored_on_recall
exp1,LogisticRegression,0.6752,0.7121,0.7835,0.7079,0.5714,0.1365,0.7593,0.5,0.2593,0.6308,0.3333,0.2975,0.3692,0.6667,0.2975,True
exp1,RandomForest,0.7179,0.8156,0.7849,0.7753,0.5357,0.2396,0.8611,0.6286,0.2325,0.9538,0.6111,0.3427,0.0462,0.3889,0.3427,True
exp1,XGBoost,0.735,0.8166,0.786,0.7528,0.6786,0.0742,0.8358,0.7429,0.0929,0.8615,0.7222,0.1393,0.1385,0.2778,0.1393,True
exp2,LogisticRegression,0.6752,0.7121,0.7838,0.7079,0.5714,0.1365,0.7593,0.5,0.2593,0.6308,0.3333,0.2975,0.3692,0.6667,0.2975,True
exp2,RandomForest,0.7179,0.8156,0.7826,0.7753,0.5357,0.2396,0.8611,0.6286,0.2325,0.9538,0.6111,0.3427,0.0462,0.3889,0.3427,True
exp2,XGBoost,0.7692,0.8402,0.7782,0.7978,0.6786,0.1192,0.8676,0.7273,0.1403,0.9077,0.6667,0.241,0.0923,0.3333,0.241,True
exp3,LogisticRegression,,,,0.7079,0.5,0.2079,0.7636,0.4167,0.3469,0.6462,0.2778,0.3684,0.3538,0.7222,0.3684,True
exp3,RandomForest,,,,0.7753,0.75,0.0253,0.8611,0.8205,0.0406,0.9538,0.8889,0.0649,0.0462,0.1111,0.0649,True
exp3,XGBoost,,,,0.7303,0.6786,0.0517,0.831,0.7568,0.0742,0.9077,0.7778,0.1299,0.0923,0.2222,0.1299,True
